# netlist of hardware/synthseqr_v3.kicad_pcb
# sha256:034a75fff1ca493f  generated 2026-09-02T20:02:22Z
# 202 components, 117 nets

## components

A: 1
  A1       Adafruit Feather M4 Express     89.35     25.11  PCM_synthseqr:Adafruit_Feather_SMDheader
  C55      100nF                       109.30     91.06  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C56      100nF                       131.40     91.20  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C57      100nF                        92.21     22.48  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C58      100nF                       106.82    111.77  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C59      100nF                       178.42    145.99  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C60      100nF                       228.51     33.34  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C61      100nF                       112.79     46.75  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C62      100nF                        52.89    193.47  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
  C63      100nF                        92.94     30.24  Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
D: 4
  D1       SS14                         48.66     68.24  PCM_synthseqr:D_3220_8050Metric_Pad2.65x5.15mm_HandSolder
  D2       SS14                         98.55     67.97  PCM_synthseqr:D_3220_8050Metric_Pad2.65x5.15mm_HandSolder
  D3       1N4148                      116.92     39.99  PCM_4ms_Diode:D_SOD-123
  D4       SMBJ5.0A                     40.33     37.22  PCM_synthseqr:DIOM5436X261N
ENC: 1
  ENC1     EC11 w/ switch               35.50     56.25  PCM_synthseqr:EN11HSM1AF15
H: 8
  H1       MountingHole_3.2mm           33.70     27.60  SSQ:MountingHole_3.2mm
  H2       MountingHole_3.2mm          287.70     27.60  SSQ:MountingHole_3.2mm
  H3       MountingHole_3.2mm           33.70    190.46  SSQ:MountingHole_3.2mm
  H4       MountingHole_3.2mm          287.70    190.46  SSQ:MountingHole_3.2mm
  H5       MountingHole_3.2mm          160.70     27.60  SSQ:MountingHole_3.2mm
  H6       MountingHole_3.2mm          160.70    190.85  SSQ:MountingHole_3.2mm
  H6       MountingHole_3.2mm          147.06     46.18  SSQ:MountingHole_3.2mm
  H7       MountingHole_3.2mm          147.06     40.98  SSQ:MountingHole_3.2mm
J: 5
  J1       5V 4A in                     45.21     33.35  Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002
  J4       SK6812 chain                 66.99    188.75  Connector_Wire:SolderWire-0.1sqmm_1x03_P3.6mm_D0.4mm_OD1mm
  J5       To CYD P1                   138.00     39.92  PCM_synthseqr:CYD_UART_cable_attach
  J6       61PC5F                      137.49     31.23  PCM_synthseqr:5PINDINMIDI_adafruit
  J7       61PC5F                      113.49     31.23  PCM_synthseqr:5PINDINMIDI_adafruit
LED: 36
  LED1     MX_SK6812MINI-E              36.51    179.41  PCM_marbastlib-mx:LED_MX_6028R
  LED2     MX_SK6812MINI-E              52.99    179.39  PCM_marbastlib-mx:LED_MX_6028R
  LED3     MX_SK6812MINI-E              69.55    179.39  PCM_marbastlib-mx:LED_MX_6028R
  LED4     MX_SK6812MINI-E              86.14    179.44  PCM_marbastlib-mx:LED_MX_6028R
  LED5     MX_SK6812MINI-E             102.64    179.39  PCM_marbastlib-mx:LED_MX_6028R
  LED6     MX_SK6812MINI-E             119.19    179.39  PCM_marbastlib-mx:LED_MX_6028R
  LED7     MX_SK6812MINI-E             135.75    179.39  PCM_marbastlib-mx:LED_MX_6028R
  LED8     MX_SK6812MINI-E             152.40    179.39  PCM_marbastlib-mx:LED_MX_6028R
  LED9     MX_SK6812MINI-E             168.90    179.39  PCM_marbastlib-mx:LED_MX_6028R
  LED10    MX_SK6812MINI-E             185.50    179.39  PCM_marbastlib-mx:LED_MX_6028R
  LED11    MX_SK6812MINI-E             202.00    179.40  PCM_marbastlib-mx:LED_MX_6028R
  LED12    MX_SK6812MINI-E             218.54    179.44  PCM_marbastlib-mx:LED_MX_6028R
  LED13    MX_SK6812MINI-E             235.15    179.44  PCM_marbastlib-mx:LED_MX_6028R
  LED14    MX_SK6812MINI-E             251.69    179.39  PCM_marbastlib-mx:LED_MX_6028R
  LED15    MX_SK6812MINI-E             268.19    179.44  PCM_marbastlib-mx:LED_MX_6028R
  LED16    MX_SK6812MINI-E             284.75    179.44  PCM_marbastlib-mx:LED_MX_6028R
  LED17    MX_SK6812MINI-E             151.65     70.17  PCM_marbastlib-mx:LED_MX_6028R
  LED18    MX_SK6812MINI-E             169.81     70.17  PCM_marbastlib-mx:LED_MX_6028R
  LED19    MX_SK6812MINI-E             187.88     70.18  PCM_marbastlib-mx:LED_MX_6028R
  LED20    MX_SK6812MINI-E             205.93     70.18  PCM_marbastlib-mx:LED_MX_6028R
  LED21    MX_SK6812MINI-E             224.10     70.17  PCM_marbastlib-mx:LED_MX_6028R
  LED22    MX_SK6812MINI-E             242.20     70.18  PCM_marbastlib-mx:LED_MX_6028R
  LED23    MX_SK6812MINI-E             260.25     70.18  PCM_marbastlib-mx:LED_MX_6028R
